# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = model_1aa937a9e322_model
# start_datetime = 2023-06-14 20:12:23 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpLONWRn/standata-1aa96d3f9593.json
# init = 2 (Default)
# random
#   seed = 2356
# output
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpLONWRn/model_363cd2b8b5b24abb691f84f4f79ef391-202306141712-2-502d3c.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpLONWRn/model_363cd2b8b5b24abb691f84f4f79ef391-profile-202306141712-2-1aace7.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1.1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2.1,ar.1,sigma,nu,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.0417932
# Diagonal elements of inverse mass matrix:
# 0.00305826, 12.9865, 1.11859, 0.329778, 0.151943, 0.123932, 0.34184, 0.432532, 0.68837, 0.74231, 0.11321, 0.0579787, 0.171089, 0.254069, 0.256758, 0.523629, 0.506937, 0.799776, 0.768486, 0.207598, 0.301702, 0.0142893, 0.211809
-189.813,0.892209,0.0417932,7,127,0,206.233,-0.125889,-2.92204,-0.64144,-1.30001,-0.603786,-0.96013,1.57876,-1.44295,-0.516611,1.08447,3.35338,-0.49369,1.0387,1.35917,-1.1686,0.296058,1.06686,0.883621,-1.7708,0.105285,0.0749563,0.338612,2.93152,-2.15099,-4.35943,-2.02472,-3.21968,5.29418,-4.83875,-1.73239,3.63664,-0.0519782,0.109359,0.143101,-0.123036,0.0311705,0.112325,0.0930322,-0.186439,-10.361,-0.125889
-192.692,0.998969,0.0417932,7,127,0,202.75,-0.145719,-4.38443,-0.649431,-1.47156,-0.548664,-1.20188,0.990409,-1.24273,-0.950884,0.615416,4.4261,-0.413024,0.723817,1.21452,-1.53559,0.900898,1.12741,2.57035,-1.79246,0.107392,0.109435,0.358105,2.27534,-2.87445,-6.51328,-2.42844,-5.31962,4.38365,-5.50042,-4.2087,2.72389,-0.0443555,0.0777322,0.130429,-0.16491,0.0967492,0.121075,0.276036,-0.192496,-11.041,-0.145719
-186.082,0.999697,0.0417932,6,63,0,198.315,-0.1152,-8.70678,-1.47676,-0.338622,-0.878387,-0.312686,0.450965,-1.24019,-0.838823,1.09389,3.7604,-0.48327,0.913867,1.51909,-0.316198,-0.186133,1.6536,1.20948,-0.500183,0.144556,0.255321,0.323756,2.35631,-5.55323,-1.27335,-3.30309,-1.17582,1.69581,-4.66359,-3.15431,4.11346,-0.0698597,0.132105,0.219593,-0.0457083,-0.0269066,0.239037,0.174838,-0.0723046,-10.7064,-0.1152
-188.924,0.922474,0.0417932,7,127,0,199.937,-0.118605,-10.115,1.71358,-0.703285,-0.636452,-0.421086,0.555394,-0.255275,0.448967,0.439029,5.44471,-0.19589,0.576941,0.706074,-1.39247,0.514453,1.01612,-0.174262,0.158222,0.183524,0.300431,0.484346,4.16267,9.32993,-3.82918,-3.4653,-2.29269,3.02396,-1.3899,2.44449,2.39038,-0.0359505,0.105882,0.129581,-0.255551,0.0944143,0.186482,-0.0319812,0.0290375,-11.1054,-0.118605
-189.501,0.990771,0.0417932,7,127,0,199.14,-0.132814,-7.67816,-1.96485,-1.20485,-1.16257,-1.21081,0.608704,-2.25718,-0.665947,0.286728,2.62977,-0.350794,0.658774,0.672821,-0.945761,0.683687,1.29181,0.240179,-1.4978,0.177077,0.261704,0.267755,1.35709,-5.16711,-3.16848,-3.05729,-3.18415,1.60075,-5.93587,-1.75129,0.75403,-0.0621174,0.116654,0.119141,-0.167472,0.121065,0.228749,0.0425301,-0.265226,-10.6595,-0.132814
-181.68,0.998363,0.0417932,6,63,0,195.53,-0.157824,-9.67143,0.773809,-1.01547,-0.921123,-0.963079,0.742305,-2.27114,-1.21459,-0.493369,3.47822,-0.326899,0.474444,1.24568,-0.250127,0.706095,1.75963,-0.320476,-0.839874,0.183951,0.18074,0.333417,2.34881,2.69148,-3.53202,-3.20387,-3.3498,2.5819,-7.8995,-4.2246,-1.71604,-0.0601334,0.0872745,0.229144,-0.0460112,0.129887,0.323686,-0.058952,-0.154496,-10.5821,-0.157824
