# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = model_1aa937a9e322_model
# start_datetime = 2023-06-14 20:12:24 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpLONWRn/standata-1aa96d3f9593.json
# init = 2 (Default)
# random
#   seed = 2356
# output
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpLONWRn/model_363cd2b8b5b24abb691f84f4f79ef391-202306141712-4-502d3c.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpLONWRn/model_363cd2b8b5b24abb691f84f4f79ef391-profile-202306141712-4-1aace7.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1.1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2.1,ar.1,sigma,nu,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.0592169
# Diagonal elements of inverse mass matrix:
# 0.00255729, 10.7615, 0.990658, 0.268783, 0.1331, 0.110263, 0.333359, 0.366701, 0.613456, 0.655906, 0.12185, 0.0571001, 0.122764, 0.229268, 0.207271, 0.462269, 0.655485, 0.69983, 0.724181, 0.245419, 0.270883, 0.0147742, 0.187679
-193.878,0.786256,0.0592169,6,63,0,212.612,-0.0905412,-10.666,-0.651751,-1.67756,-0.843037,-1.1135,0.022843,-1.2523,-1.71684,-1.23993,3.46518,-0.670717,0.554866,1.71234,0.435274,-1.07755,0.807559,0.76518,-0.73295,0.0940301,0.404703,0.378286,2.84989,-2.25844,-5.81307,-2.92128,-3.8585,0.0791552,-4.33945,-5.94918,-4.29658,-0.0630676,0.0521741,0.161012,0.0409288,-0.101322,0.0759348,0.07195,-0.0689193,-10.4348,-0.0905412
-185.97,0.995886,0.0592169,7,127,0,202.296,-0.0573387,-5.3881,-0.757491,-0.257575,-0.388712,-0.25393,0.413062,-0.907942,-0.31827,0.740165,7.05516,-0.266684,0.737118,0.946995,-1.74925,1.16738,1.29604,-0.0987277,-0.550851,0.122042,0.247783,0.393753,2.74145,-5.34422,-1.81723,-2.74243,-1.79152,2.91422,-6.40568,-2.24545,5.22198,-0.0325466,0.0899594,0.115573,-0.213483,0.14247,0.158172,-0.0120489,-0.067227,-12.0677,-0.0573387
-188.652,0.651727,0.0592169,6,63,0,196.306,-0.0737397,-6.50985,0.749957,-0.655875,-0.257821,-0.527436,0.38681,-0.695562,0.176032,-0.312528,8.56955,-0.505246,0.812057,1.14641,-1.59714,1.21889,1.61824,-0.205755,-0.532972,0.115448,0.354081,0.38933,2.8769,6.4268,-5.62056,-2.20941,-4.51989,3.31479,-5.96066,1.50852,-2.67823,-0.0583298,0.0937506,0.132351,-0.184387,0.140718,0.186823,-0.023754,-0.0615307,-12.6252,-0.0737397
-188.367,0.662679,0.0592169,6,63,0,200.281,-0.0802548,-11.2997,-0.144258,-0.647702,-0.35559,-0.446311,0.121344,-0.28605,-0.627326,-0.075796,8.98375,-0.850694,0.796979,1.96303,-0.290113,0.346267,-0.141251,0.496552,-0.941807,0.108827,0.364007,0.404811,2.93104,-1.29598,-5.81879,-3.19453,-4.00955,1.09013,-2.5698,-5.63574,-0.680932,-0.0925784,0.0867329,0.213631,-0.0315721,0.0376832,-0.015372,0.0540383,-0.102494,-12.7648,-0.0802548
-186.269,0.388487,0.0592169,6,63,0,196.217,-0.0961165,-12.0479,-0.0591239,-0.464963,-0.577965,-0.423964,0.0422014,-0.734838,-0.229469,0.278101,7.39152,-0.608631,0.886783,2.20852,-0.25197,-0.0275323,-0.0408268,-0.24855,-1.54147,0.100334,0.300704,0.383612,2.83491,-0.437016,-3.43678,-4.27204,-3.13374,0.311933,-5.43157,-1.69613,2.05559,-0.0610664,0.0889745,0.22159,-0.0252812,-0.00276243,-0.00409632,-0.024938,-0.154662,-12.1781,-0.0961165
-186.38,0.787585,0.0592169,6,63,0,194.408,-0.117823,-11.2235,-0.98659,-0.24589,-0.404149,-0.28699,0.0290292,-0.992609,-1.73485,0.378169,7.44233,-0.701936,1.18329,1.85625,-0.630385,0.843943,0.0813644,0.0840941,-0.20495,0.0947929,0.331265,0.357513,2.17794,-7.34253,-1.83,-3.00781,-2.13587,0.216045,-7.38733,-12.9113,2.81446,-0.0665385,0.112167,0.175959,-0.0597561,0.0799998,0.00771277,0.00797152,-0.0194278,-12.3939,-0.117823
