# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=2356
# chain_id=3
# iter=3000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=300
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=models/demo_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1_1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2_1,ar.1,sigma,nu,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,b_Intercept
# Adaptation terminated
# Step size = 0.0497712
# Diagonal elements of inverse mass matrix:
# 0.00289437, 12.7512, 1.20072, 0.354734, 0.127046, 0.116879, 0.292047, 0.419099, 0.707507, 0.84682, 0.113836, 0.0772894, 0.12148, 0.275642, 0.289668, 0.454507, 0.631371, 0.631154, 0.786043, 0.197642, 0.342767, 0.0156148, 0.237476
-189.519,0.995939,0.0497712,6,63,0,196.204,-0.103225,-11.2922,0.716227,-1.05783,-0.861576,-0.87676,0.554807,-1.35738,0.228495,-1.21845,4.57643,-0.348976,0.430137,1.04748,-1.78294,1.00388,2.38791,0.21928,-2.2421,0.141888,0.143928,0.314163,1.91677,3.27776,-4.84106,-3.94294,-4.01243,2.53904,-6.21197,1.04569,-5.57613,-0.0495154,0.0610311,0.148624,-0.252977,0.142438,0.338814,0.0311131,-0.318126,-0.103225
-187.674,0.932172,0.0497712,6,63,0,198.54,-0.18891,-8.72065,0.227675,-1.14665,-0.811457,-0.944076,0.471372,-1.15531,1.27737,1.91516,3.34908,-0.542022,0.728472,1.48629,0.263753,-0.0545517,0.12107,0.903457,0.226907,0.136367,0.3284,0.300381,1.8741,0.762501,-3.84022,-2.71763,-3.16178,1.57866,-3.86922,4.27802,6.41401,-0.0739136,0.0993392,0.20268,0.0359671,-0.00743902,0.0165099,0.123201,0.0309425,-0.18891
-188.931,0.920095,0.0497712,6,127,0,196.457,-0.188019,-7.08374,0.486583,-0.820498,-0.691457,-0.452536,0.461494,-0.762015,0.216726,1.69183,3.13337,-0.229021,0.893959,0.811188,0.316231,0.209336,-0.132266,0.980882,0.756177,0.109202,0.467569,0.356168,2.40097,1.52464,-2.57092,-2.16659,-1.41796,1.44603,-2.38767,0.679082,5.30112,-0.0250096,0.0976223,0.0885835,0.0345331,0.02286,-0.0144437,0.107114,0.0825762,-0.188019
-189.557,0.925008,0.0497712,6,63,0,197.747,-0.225768,-12.5304,0.400692,-0.903539,-1.06832,-0.493708,-0.0564606,-0.153161,0.322154,0.867404,3.40131,-0.30979,0.966983,0.236622,-0.963619,0.28145,0.430285,-0.127368,-0.117803,0.11286,0.360072,0.349593,1.88281,1.36288,-3.07321,-3.63368,-1.67925,-0.19204,-0.520949,1.09574,2.95031,-0.0349629,0.109134,0.0267052,-0.108754,0.0317645,0.048562,-0.0143747,-0.0132952,-0.225768
-189.3,0.943142,0.0497712,6,63,0,199.612,-0.103388,-12.2489,0.661666,-1.21178,-0.805928,-0.639186,-0.020518,-0.462867,0.332528,-0.277837,4.25258,-0.756643,0.768444,1.71024,-0.221591,1.07343,1.7255,1.06428,-1.27447,0.0942613,0.383713,0.353406,2.60013,2.81379,-5.15319,-3.42727,-2.71819,-0.0872543,-1.96838,1.4141,-1.18152,-0.0713222,0.0724345,0.16121,-0.0208874,0.101183,0.162648,0.10032,-0.120133,-0.103388
-189.396,0.901978,0.0497712,6,127,0,200.01,-0.185272,-17.6113,0.722156,-0.846752,-1.57592,-0.993688,-0.113564,-1.55947,1.75093,-0.114322,3.29856,-0.254872,0.440392,0.657558,-1.52009,0.729457,-0.0617669,1.37072,-0.516503,0.204505,0.250898,0.384207,2.59622,2.38208,-2.79306,-5.19826,-3.27774,-0.374598,-5.14399,5.77555,-0.377099,-0.0521225,0.0900622,0.134474,-0.310866,0.149177,-0.0126316,0.280319,-0.105627,-0.185272
-188.511,0.808538,0.0497712,6,63,0,200.059,-0.104346,-13.8601,0.567386,-1.19129,-1.30939,-0.794695,-0.798574,-0.91484,1.22135,0.372439,2.77727,-0.474405,0.856085,1.2797,-0.358182,0.28742,0.817851,0.896232,-1.45128,0.104325,0.344543,0.323017,2.0268,1.57578,-3.30854,-3.63652,-2.20708,-2.21785,-2.54075,3.39202,1.03436,-0.0494922,0.0893109,0.133505,-0.0373673,0.029985,0.0853222,0.0934992,-0.151405,-0.104346
-187.203,0.987704,0.0497712,6,63,0,198.502,-0.1783,-6.09775,-0.63263,-0.54287,-0.634882,-0.603685,1.1798,-2.02777,1.5013,0.470761,3.52035,-0.271371,0.903134,1.21455,-1.03024,1.34751,1.30233,-0.744391,1.27823,0.117142,0.227884,0.327745,2.0992,-2.22708,-1.91109,-2.23501,-2.12519,4.15332,-7.13847,5.28512,1.65724,-0.031789,0.105795,0.142275,-0.120685,0.157849,0.152558,-0.0871994,0.149734,-0.1783
-189.922,0.879501,0.0497712,6,63,0,197.586,-0.151713,-6.68727,-0.910576,-0.923914,-0.69273,-0.866422,0.631883,-1.47935,1.18567,1.15105,3.31688,-0.531554,0.937327,0.966763,-1.2238,1.20568,0.245853,-0.757522,1.88033,0.109763,0.374105,0.29709,2.24184,-3.02028,-3.06452,-2.29771,-2.87382,2.09588,-4.90682,3.93274,3.81789,-0.0583447,0.102883,0.106114,-0.134328,0.132339,0.0269855,-0.0831475,0.206389,-0.151713
