# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=2356
# chain_id=1
# iter=3000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=300
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=models/demo_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1_1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2_1,ar.1,sigma,nu,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,b_Intercept
# Adaptation terminated
# Step size = 0.0516478
# Diagonal elements of inverse mass matrix:
# 0.00267354, 10.484, 0.90742, 0.350858, 0.149257, 0.119684, 0.36664, 0.482746, 0.782796, 0.854113, 0.099535, 0.0622684, 0.147483, 0.246312, 0.246626, 0.51273, 0.636825, 0.814551, 0.718437, 0.198071, 0.251451, 0.0180395, 0.239097
-191.425,0.88402,0.0516478,7,127,0,198.859,-0.0976331,-2.1747,-1.29487,-0.411272,-0.226798,-0.341917,0.390319,-0.583835,0.819442,0.684362,9.01413,-0.578681,1.06456,2.06624,-0.615919,0.887685,1.12183,0.739585,0.655944,0.119123,0.171549,0.40857,2.59917,-11.6721,-3.70726,-2.04439,-3.08208,3.51839,-5.26277,7.38656,6.16893,-0.0689345,0.126814,0.246138,-0.0733704,0.105744,0.133637,0.088102,0.0781383,-0.0976331
-187.249,0.988251,0.0516478,6,63,0,197.953,-0.154518,-8.16343,-0.945886,-0.640273,-0.68447,-0.658026,0.530423,-1.4851,1.33314,0.520361,4.3105,-0.341563,0.58761,0.566889,-0.978954,-0.0034626,1.9355,-0.621216,-2.40576,0.161314,0.153535,0.25601,2.19814,-4.07724,-2.7599,-2.95041,-2.83642,2.28639,-6.40151,5.74651,2.24302,-0.0550987,0.0947895,0.091447,-0.157919,-0.000558565,0.312223,-0.100211,-0.388082,-0.154518
-187.948,0.762327,0.0516478,6,127,0,200.122,-0.141696,-6.15084,0.426567,-0.759651,-0.632783,-0.684487,0.746229,-2.04966,0.861878,1.57324,3.48211,-0.0880689,0.298887,0.275433,-0.220392,0.495793,0.488618,0.753164,0.897032,0.378137,0.279827,0.368641,1.56867,1.48535,-2.64519,-2.20342,-2.38346,2.59845,-7.13714,3.00115,5.47819,-0.0333021,0.11302,0.104151,-0.0833383,0.187477,0.184765,0.284799,0.339201,-0.141696
-184.303,0.96543,0.0516478,6,127,0,197.337,-0.152398,-5.84739,0.346154,-0.713694,-0.588861,-0.510571,0.634249,-1.43634,0.157229,1.46163,4.30078,-0.130853,0.284401,0.314092,-0.25648,0.382553,1.27025,0.195713,0.654881,0.393184,0.29947,0.365176,2.55955,1.48873,-3.06944,-2.53256,-2.19585,2.72776,-6.17739,0.676208,6.28617,-0.0514494,0.111822,0.123496,-0.100844,0.150414,0.499443,0.0769511,0.257489,-0.152398
-183.307,0.980463,0.0516478,6,127,0,193.045,-0.149085,-6.83507,0.2118,-0.270562,-0.536808,-0.395821,0.470831,-1.16919,0.210711,0.953596,4.1679,-0.138943,0.378489,0.522861,-0.161996,0.508795,1.57189,0.176975,0.526725,0.280524,0.34383,0.353431,2.15594,0.882759,-1.12767,-2.23736,-1.64974,1.96238,-4.87304,0.878223,3.97449,-0.0389767,0.106175,0.146675,-0.0454438,0.142729,0.440951,0.0496457,0.147759,-0.149085
-185.217,0.988007,0.0516478,6,95,0,193.327,-0.109566,-9.14608,0.570288,-1.42415,-1.07208,-1.08211,0.698986,-1.29672,0.5424,-0.293384,2.77595,-0.508671,0.72015,1.66263,-0.769805,0.115837,1.00795,0.649347,0.245606,0.122323,0.222664,0.326025,2.68998,1.58309,-3.95336,-2.97605,-3.00389,1.94035,-3.59963,1.50568,-0.814421,-0.0622223,0.0880911,0.203378,-0.0941651,0.0141696,0.123295,0.0794302,0.0300433,-0.109566
