# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=2356
# chain_id=4
# iter=3000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=300
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=models/demo_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1_1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2_1,ar.1,sigma,nu,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,b_Intercept
# Adaptation terminated
# Step size = 0.0438943
# Diagonal elements of inverse mass matrix:
# 0.00260485, 13.2997, 0.730609, 0.309798, 0.146797, 0.115629, 0.337867, 0.478359, 0.625646, 0.821117, 0.123205, 0.0541489, 0.147787, 0.318367, 0.295639, 0.570723, 0.484172, 0.821533, 0.79254, 0.212754, 0.298928, 0.015388, 0.221435
-194.201,0.994499,0.0438943,6,63,0,204.214,-0.190171,-9.39891,-0.283463,-1.09251,-1.17129,-0.879753,-0.208291,-2.14634,-1.31684,-0.133207,3.0444,-0.369266,0.39606,1.07568,-0.779448,1.03454,0.559999,1.74582,-0.870961,0.219679,0.139258,0.413331,3.20914,-0.862972,-3.32603,-3.56586,-2.67832,-0.63412,-6.5343,-4.00897,-0.405534,-0.0811198,0.0870059,0.236304,-0.171228,0.227266,0.12302,0.383519,-0.191332,-0.190171
-203.4,0.986704,0.0438943,6,63,0,212.738,-0.013471,-5.84972,-1.07616,-0.296977,-0.524322,-0.452209,1.43349,-1.15149,2.44274,2.0929,2.8031,-0.296751,1.60274,0.975237,-0.417977,1.41928,1.88466,-0.160499,-0.701701,0.0821294,0.498859,0.394745,2.99337,-3.01659,-0.832457,-1.46973,-1.26759,4.01821,-3.22773,6.84726,5.8666,-0.024372,0.131632,0.0800956,-0.0343282,0.116565,0.154786,-0.0131817,-0.0576303,-0.013471
-193.588,0.985583,0.0438943,7,127,0,212.56,-0.129138,-10.4849,1.7577,-0.691008,-0.913251,-0.644643,0.226843,-1.99605,-0.74434,0.05949,4.53865,-0.0252834,0.349857,0.419507,-0.579585,-0.146509,1.26364,0.564401,0.200429,0.23179,0.141897,0.463982,3.96962,7.97758,-3.13624,-4.14493,-2.92581,1.02956,-9.05936,-3.3783,0.270004,-0.00586045,0.0810934,0.0972376,-0.134342,-0.0339594,0.2929,0.130823,0.0464575,-0.129138
-188.383,1,0.0438943,6,63,0,200.696,-0.0938535,-8.58364,1.05025,-1.2577,-1.01701,-0.575117,1.08341,-1.04731,-0.491162,-0.543776,3.04825,-0.0547957,0.40673,0.624568,-0.37641,1.16167,0.357136,-0.374907,-0.514157,0.267332,0.335106,0.37247,2.82931,3.20143,-3.83377,-3.1001,-1.7531,3.3025,-3.19245,-1.49718,-1.65756,-0.0146487,0.108732,0.166967,-0.100627,0.310553,0.0954741,-0.100225,-0.137451,-0.0938535
-188.981,0.987973,0.0438943,7,127,0,200.094,-0.128288,-10.4655,-1.1902,-1.2201,-1.27928,-1.18067,-0.0631528,-2.24776,1.14753,0.922081,2.68479,-0.571008,0.862625,1.46652,-1.20968,-0.284625,1.8331,0.799726,0.205971,0.111546,0.289268,0.396634,3.94817,-3.19543,-3.2757,-3.43459,-3.16985,-0.169552,-6.03476,3.08088,2.47559,-0.0636935,0.096222,0.163583,-0.134934,-0.0317487,0.204475,0.0892059,0.0229752,-0.128288
-182.396,0.944275,0.0438943,6,63,0,195.019,-0.151223,-11.5854,-0.105033,-0.650351,-1.00452,-0.813895,0.435941,-1.60275,1.53371,0.832245,3.80659,-0.265675,0.444185,0.681246,-0.06785,0.0950969,0.623761,0.0496489,-1.30098,0.2134,0.31447,0.408542,3.06061,-0.399817,-2.47562,-3.8238,-3.09816,1.65945,-6.10102,5.83819,3.16801,-0.056695,0.0947888,0.145378,-0.0144792,0.0202936,0.13311,0.0105951,-0.277628,-0.151223
