date,series,y,d_x
1,A,1.4263762115634817,0
2,A,1.592364669311946,1
3,A,2.0336326401265805,1
4,A,2.2056791488196734,1
5,A,1.618540387538962,1
6,A,-0.8563734245860994,1
7,A,0.020364350684440646,1
8,A,-0.04187369404989233,1
9,A,-0.18510709254025393,1
10,A,-1.600327348677452,1
11,A,-1.5983791991828369,1
12,A,-0.7009238792282834,1
13,A,0.8680328360692456,1
14,A,0.5048352579054765,1
15,A,0.7410562920932027,1
16,A,0.46493436388233667,1
17,A,-1.051605502110971,1
18,A,-1.1511184147773594,1
19,A,-1.2000728440545008,1
20,A,-0.8993643875493361,1
21,A,0.4704703006993478,1
22,A,1.0925049589470877,1
23,A,0.6002298750093744,1
24,A,0.1667992323700545,1
25,A,0.8137228380637755,1
26,A,1.1262691853183,1
27,A,0.09963273517329008,1
28,A,-0.6377522423408166,1
29,A,-0.08184460750174127,1
30,A,0.7112416992641969,1
31,A,0.38552297733470975,1
1,B,0.36949595307370076,0
2,B,0.4119005053634882,1
3,B,2.4609420241165942,1
4,B,2.1981689457812785,1
5,B,0.8287718311250803,1
6,B,1.190866635276611,1
7,B,-0.10049098695062386,1
8,B,-1.3239770911045388,1
9,B,-0.6353377282557142,1
10,B,-0.8880282829974329,1
11,B,-0.6205144464665788,1
12,B,-0.3600187883749411,1
13,B,-0.8415340980505307,1
14,B,-1.1577426014538734,1
15,B,-0.9455984361415435,1
16,B,0.516168091274124,1
17,B,-1.1622491365378753,1
18,B,-0.21962820794809113,1
19,B,0.17921062564985452,1
20,B,1.188547275231261,1
21,B,0.5277991690275821,1
22,B,0.7394782282355956,1
23,B,0.784733550537148,1
24,B,0.0067934543843531925,1
25,B,1.2126232240522195,1
26,B,2.009238872531505,1
27,B,2.1066808602870517,1
28,B,3.0615100567417817,1
29,B,2.7015434652845514,1
30,B,0.6144882172411492,1
31,B,-0.1431236621680818,1
